Intensity,Wavelength (Å),Spectrum,Reference
50,4250.58,Kr II,HP70a
120,4250.649,Ne II,P71
30,4250.7871,Fe I,NJLT94
1,4251.185,Ar I,N73
100,4251.201,Y I,P77
30 l,4251.57,Xe II,H39
200,4251.73,Gd II,MCS75
150,4252.44,Nd II,MCS75
100,4253.37,Gd II,MCS75
200,4253.5385,Th I,PE83
70,4253.61,Gd II,MCS75
1000 P,4254.331,Cr I,K53
"150 P,c,w",4254.38,Ho I,MZH78
100,4254.402,Pr II,G90
200,4255.779,Ce II,C73
120,4256.2537,Th I,PE83
500 P,4256.393,Sm II,K35
11,4257.669,Mn I,CMG64
6,4259.362,Ar I,N73
"800 P,h",4259.413,Bi II,DLW02
150,4260.12,Gd I,MCS75
200,4260.333,Th I,PE83
80,4260.4746,Fe I,NJLT94
150 P,4260.85,Os I,MCS75
500,4261.11,Te II,HM64
500,4261.886,Pu I,BFG84
300,4262.019,Ga II,IL85
50,4262.05,Nb I,MCS75
300,4262.09,Gd I,MCS75
800 P,4262.27,Tc I,BMC67
300,4262.677,Sm II,K35
40,4262.69,Tc I,BMC67
40,4263.133,Ti I,F91
250,4263.4,K II,D26
60,4264.05,Ho I,MCS75
140,4264.7,Cs II,S81
100,4265.55,Am I,FT57
11,4265.928,Mn I,CMG64
25,4266.02,Nb I,MCS75
30,4266.04,Ho I,MCS75
3,4266.286,Ar I,N73
200,4266.34,Tb I,B01
1000,4266.45,Cm I,WHGC76
25,4266.527,Ar II,N73
140,4266.6,Gd I,MCS75
100,4267.0,Gd I,MCS75
400 P,4267.003,C II,MG93
"500 P,c",4267.258,C II,MG93
90,4268.015,Zr I,J98
15,4268.1,Ir I,MCS75
50,4268.638,V I,DA78
60,4269.093,Pr II,G90
9,4269.279,Mo I,WB88
150,4269.38,W I,MCS75
200,4270.186,Ce II,C73
20,4270.69,Nb I,MCS75
40,4271.55,V I,DA78
25,4271.716,Tm I,SMC73
120,4271.7607,Fe I,NJLT94
4,4272.169,Ar I,N73
150 c,4272.273,Pr II,G90
150,4273.14,Rb II,R75
70,4273.3574,Th II,PE83
150,4273.9694,Kr I,K93
30,4274.588,Ti I,F91
800 P,4274.806,Cr I,K53
200,4274.97,Tc II,BMC67
700,4274.98,Tl II,ES36
30,4276.906,Mo I,WB88
40,4276.953,V I,DA78
200 w,4277.13,Cs II,S81
40,4277.239,Mo I,WB88
110,4277.3139,Th II,PE83
200 P,4277.528,Ar II,N73
4,4277.738,Yb I,MT78
30,4278.9,Tc I,BMC67
300*,4279.678,Sm II,K35
300*,4279.747,Sm II,K35
90 c,4280.07,Pr II,MCS75
400 P,4280.27,La I,MCS75
100,4280.49,Gd II,MCS75
500 P,4280.789,Sm II,K35
10,4281.1,Mn I,CMG64
150,4282.0413,Th II,PE83
150,4282.198,Zr I,J98
400,4282.208,Sm I,K35
120,4282.4028,Fe I,NJLT94
150 c,4282.456,Pr II,G90
30,4282.698,Ti I,F91
300,4282.833,Sm I,K35
7,4282.898,Ar II,N73
15,4282.9674,Kr I,K93
30,4283.097,Ba I,KL99
40,4284.047,V I,DA78
70,4284.33,Ru I,K59
130,4284.52,Nd II,MCS75
90,4285.82,Gd I,MCS75
110,4286.003,Ti I,F91
50,4286.556,Er I,M64b
25,4286.99,Nb I,MCS75
110,4287.402,Ti I,F91
30 c,4287.97,Rb II,R75
50,4288.38,Cs II,S81
50,4288.631,Mo I,WB88
90,4288.71,Rh I,MCS75
120,4289.07,Ti I,F91
500 P,4289.258,Am I,FT57
500 P,4289.733,Cr I,K53
600 P,4289.935,Ce II,C73
110,4290.929,Ti I,F91
300 s,4291.345,Pa II,G67
30,4291.82,V I,MCS75
25,4292.134,Mo I,WB88
200,4292.923,Kr II,HP70a
1000,4293.0,Cm I,WHGC76
30,4293.215,Mo I,WB88
12,4293.88,Mo I,WB88
20,4293.95,Os I,MCS75
15,4293.97,Rb II,R75
500 P,4294.61,W I,MCS75
150,4294.787,Zr I,J98
150,4294.79,Hf I,MCS75
110,4295.748,Ti I,F91
50,4295.932,Ru I,K59
150 h,4296.4,Xe II,H39
400,4296.68,Ce II,C73
1000 P,4296.743,Sm I,K35
1000 P,4297.06,Tc I,BMC67
90,4297.3066,Th I,PE83
300,4297.714,Ru I,K59
600 P,4297.78,Pm II,RCWM80
15,4298.365,Tm I,SMC73
250,4298.665,Ti I,F91
14,4298.73,Eu I,MCS75
25,4298.905,Er I,M64b
90 c,4298.965,Pr II,G90
200,4299.17,F II,P69
25,4299.202,Ti I,F91
90,4299.29,Gd I,MCS75
40,4299.6,Nb I,MCS75
25,4299.629,Ti I,F91
140,4299.8393,Th I,PE83
3,4300.101,Ar I,N73
200,4300.327,Ce II,C73
70,4300.49,Kr II,DHM33
400,4300.554,Ti I,F91
8,4300.65,Ar II,N73
40,4300.99,Nb I,MCS75
500,4301.079,Ti I,F91
"700 P,h",4301.697,Bi II,DLW02
250 P,4302.11,W I,MCS75
40 h,4302.29,Y I,P77
500,4302.527,Ca I,R68
90,4302.878,Zr I,J98
1000 P,4303.58,Nd II,MCS75
60,4303.61,Pr II,MCS75
