Intensity,Wavelength (Å),Spectrum,Reference
1000,3750.075,Bk I,WC78
500,3750.09,Pm II,RCWM80
200,3751.1746,U I,SPMR72
150,3751.59,Zr II,J98
150,3751.806,Tm I,SMC73
1000,3751.905,Bk I,WC78
100,3752.13,Tc I,BMC67
110,3752.49,Nd II,MCS75
130,3752.52,Os I,MCS75
150,3752.5689,Th II,PE83
300,3752.67,Pa I,BW92b
700 P,3752.858,Ti I,F91
60,3753.504,Dy II,NG00
70,3753.546,Ru I,K59
500 P,3753.628,Pu I,BFG84
80,3753.633,Ti I,F91
70,3753.65,Rn I,R33
60,3753.747,Dy II,NG00
25,3754.12,Rh I,MCS75
25,3754.245,Kr II,HP70a
40,3754.27,Rh I,MCS75
400,3754.37,Tc I,BMC67
200,3755.251,Tb II,B01
200,3755.276,Sm II,K35
50,3755.58,Rh I,MCS75
80,3755.937,Ru I,K59
500 P,3755.94,Pu I,BFG84
40,3756.05,Er I,M64b
500,3756.411,Sm I,K35
150 s,3756.67,Ac II,MFT57
80,3757.049,Dy I,NG00
200 P,3757.367,Dy II,NG00
300,3757.529,Sm II,K35
12,3757.659,Cr I,K53
250,3757.6941,Th I,PE83
90,3757.82,Nd II,MCS75
1000,3757.851,Bk I,WC78
60,3757.92,W I,MCS75
200,3757.94,Gd I,MCS75
300 P,3758.2329,Fe I,NJLT94
150,3758.31,Gd II,MCS75
500 P,3758.338,Pu I,BFG84
150,3758.348,U I,SPMR72
100,3758.54,Tc I,BMC67
150,3758.95,Nd II,MCS75
90,3759.0,Gd II,MCS75
250 P,3759.08,La II,MCS75
300 P,3759.3,Ti II,HJLW82
110,3759.838,Ru I,K59
30,3760.019,Ru I,K59
40,3760.0498,Fe I,NJLT94
80,3760.13,W I,MCS75
110,3760.4,Rh I,MCS75
500,3760.694,Sm II,K35
70,3760.71,Gd II,MCS75
4,3761.12,Eu II,MCS75
30,3761.1616,Pt II,SRSA92
250 P,3761.326,Ti II,HJLW82
700 P,3761.33,Tm II,MCS75
50,3761.511,Ru I,K59
200,3761.81,Tc I,BMC67
130,3761.87,Pr II,MCS75
500 P,3761.91,Tm II,MCS75
200,3762.2,Gd I,MCS75
1000,3763.045,Cm I,WHGC76
100,3763.2643,U I,SPMR72
150,3763.47,Nd II,MCS75
30,3763.49,Nb I,MCS75
150,3763.7891,Fe I,NJLT94
200,3764.115,Ce II,C73
250,3764.37,Sm II,K35
140,3764.389,Zr I,J98
250,3765.08,Rh I,MCS75
20,3765.08,Nb I,MCS75
300 P,3765.136,Tb II,B01
200,3765.2401,Th I,PE83
50,3765.27,Ar II,N73
40,3765.5388,Fe I,NJLT94
15,3766.119,Ar II,N73
800 P,3766.259,Ne II,P71
140,3766.714,Zr I,J98
130,3766.8864,U I,SPMR72
100,3767.04,Gd II,MCS75
60,3767.1919,Fe I,NJLT94
50,3767.353,Ru I,K59
40,3767.625,Dy I,NG00
13,3768.237,Cr I,K53
1000 P,3768.39,Gd II,MCS75
120,3768.45,W I,MCS75
500,3768.77,Tc I,BMC67
40,3769.09,Ho I,MCS75
70,3769.45,Gd II,MCS75
90,3769.65,Nd II,MCS75
50,3769.97,Rh I,MCS75
300,3770.056,Th I,PE83
30,3770.095,Yb I,MT78
1,3770.369,Ar I,N73
12,3770.445,Mo I,WB88
7,3770.52,Ar II,N73
150,3770.69,Gd II,MCS75
300,3771.03,Tc I,BMC67
1000 s,3771.06,Bk II,WC78
20,3771.106,Dy I,NG00
80,3771.651,Ti I,F91
30,3771.85,Nb I,MCS75
40,3773.051,Dy I,NG00
250* d,3773.331,Sm I,K35
250* d,3773.422,Sm II,K35
150,3773.4339,U I,SPMR72
