Intensity,Wavelength (Å),Spectrum,Reference
200,3500.076,U I,SPMR72
100,3500.7,Tc I,BMC67
80,3500.851,Ni I,LBT93
80 P,3501.108,Ba I,KL99
20,3501.2159,Ne I,SS04
200,3501.388,F II,P69
200,3501.451,F II,P69
"300 P,h",3501.5,Np I,FTBC76
200,3501.569,F II,P69
500 P,3502.28,Co I,PT96
600 P,3502.52,Rh I,MCS75
80 c,3502.7,Tc I,BMC67
40,3502.78,Er I,M64b
200,3502.84,F II,P69
200,3502.964,F II,P69
10,3503.06,Re I,MCS75
200,3503.106,F II,P69
120,3503.7859,Th I,PE83
90,3503.87,Ta I,MCS75
100,3504.0089,U I,SPMR72
30,3504.411,Mo I,WB88
40,3504.528,Dy II,NG00
20,3504.66,Os I,MCS75
70,3504.9,Ti II,HJLW82
300,3504.97,Pa I,BW92b
140,3505.23,Hf II,MCS75
150,3505.369,F II,P69
40,3505.452,Dy II,NG00
150,3505.51,Gd II,MCS75
200,3505.515,F II,P69
200,3505.628,F II,P69
140,3505.666,Zr II,J98
300,3506.312,Co I,PT96
1,3506.74,Xe I,HM33
60,3506.812,Dy II,NG00
25 c,3506.95,Ho II,MCS75
300 P,3507.32,Rh I,MCS75
250,3507.3442,U I,SPMR72
"500 P,c",3507.39,Lu II,MCS75
30,3507.96,Nb I,MCS75
20,3508.114,Mo I,WB88
200,3508.42,Lu I,MCS75
60,3508.85,Pt II,SRSA92
1000 P,3509.146,Tb II,B01
300,3509.321,Zr I,J98
25,3509.778,Ar II,N73
140,3509.841,Co I,PT96
500 P,3510.127,Am I,FT57
1000,3510.279,Cm I,WHGC76
300,3510.335,Ni I,LBT93
90,3510.73,Ho I,MCS75
50,3510.862,Ti II,HJLW82
60 c,3510.864,Bi I,GMV85
200,3511.04,Ta I,MCS75
200,3511.1574,Th I,PE83
90,3512.22,Gd II,MCS75
130,3512.5,Gd II,MCS75
250,3512.64,Co I,PT96
1000 l,3513.47,Cf II,RCWM80
200,3513.481,Co I,PT96
200 P,3513.64,Ir I,MCS75
150,3513.65,Gd I,MCS75
100,3513.6742,U I,SPMR72
"1000 P,l",3514.33,Es I,WLGC74
25,3514.388,Ar II,N73
60,3514.491,Ru I,K59
500 P,3514.6107,U I,SPMR72
10,3514.7134,Pt I,SRSA92
40,3514.889,Er II,M64b
800 P,3515.052,Ni I,LBT93
20,3515.1902,Ne I,SS04
"250 P,c",3515.56,Ho II,MZH78
500 P,3516.9438,Pd I,ELLW98
150,3517.296,V II,ICL88
25,3517.598,Tm I,SMC73
250,3518.347,Co I,PT96
250,3518.404,Th I,PE83
1000 P,3519.24,Tl I,MCS75
600 P,3519.604,Zr I,J98
80,3519.765,Ni I,LBT93
25 c,3519.94,Ho II,MCS75
13,3520.293,Yb II,M67
100 P,3520.4711,Ne I,SS04
120,3521.0595,Th I,PE83
"8 c,w",3521.09,Eu II,MCS75
250 P,3521.11,Te II,HM64
30,3521.2612,Fe I,NJLT94
"1000 P,s",3521.38,Es I,WLGC74
30,3521.39,Rb II,R75
15,3521.413,Mo I,WB88
130,3521.566,Co I,PT96
1000,3522.355,Cm I,WHGC76
400,3523.02,Hf I,MCS75
200,3523.433,Co I,PT96
"1000 P,s",3523.49,Es I,WLGC74
250,3523.679,Tb II,B01
200,3523.979,Dy II,NG00
110,3524.2,Gd II,MCS75
1000 P,3524.536,Ni I,LBT93
60,3524.912,Er II,M64b
1000,3524.938,Cm I,WHGC76
80,3525.808,Zr II,J98
80,3525.83,Tc I,BMC67
40,3526.0408,Fe I,NJLT94
120,3526.6342,Th I,PE83
300 P,3526.85,Co I,PT96
900 P,3528.02,Rh I,MCS75
9,3528.5348,Pt I,SRSA92
40,3528.6,Os I,MCS75
1000,3528.721,Bk I,WC78
130,3529.033,Co I,PT96
250 P,3529.43,Tl I,MCS75
20,3529.733,V I,DA78
300 P,3529.808,Co I,PT96
200,3530.38,Cu I,S48
300 s,3530.65,Pa II,BW92b
250,3530.75,K II,D26
100 l,3530.948,Am I,FT57
1000 l,3531.397,Bk I,WC78
250,3531.4505,Th I,PE83
1000,3531.49,Cf I,RCWM80
30 l,3531.55,Rb II,R75
1000 P,3531.703,Dy II,NG00
13,3531.836,Mn I,CMG64
40,3532.11,Mn I,CMG64
10,3532.594,Hg II,SR01
800,3533.05,Na II,W71
130,3533.223,Zr I,J98
130,3533.5659,U II,SPMR72
50,3533.676,V I,DA78
100,3534.3346,U I,SPMR72
200,3534.958,Dy II,NG00
60,3535.159,Zr I,J98
120 P,3535.3,Nb I,MCS75
200,3535.52,Tm II,MCS75
120,3535.54,Hf II,MCS75
100,3535.713,Sc II,JL80
1000 l,3535.731,Bk I,WC78
1000 s,3536.01,Es,WLGC74
250 P,3536.018,Dy II,NG00
90,3536.58,Tm II,MCS75
300,3536.62,Hf I,MCS75
20,3537.28,Mo I,MCS75
80,3537.48,Nb I,MCS75
40,3537.91,Tm I,SMC73
90 d,3538.14,Rh I,MCS75
200,3538.516,Dy II,NG00
80,3538.68,Tc I,BMC67
200,3539.076,Ce II,C73
70,3539.368,Ru I,K59
150,3539.5872,Th II,PE83
30,3539.59,Er I,M64b
200,3540.27,Tb II,B01
40,3540.76,Ho II,MCS75
1000,3540.98,Cf I,RCWM80
30,3541.0833,Fe I,NJLT94
11,3541.15,Rb II,R75
200 c,3541.77,Tc I,BMC67
30,3541.91,Rh I,MCS75
1000,3542.059,Cm I,WHGC76
11,3542.166,Mo I,WB88
"1000 P,s",3542.187,Bk II,WC78
80,3542.327,Dy II,NG00
100,3542.5704,U I,SPMR72
110,3542.621,Zr II,J98
120,3542.847,Ne II,P71
130,3543.95,Rh I,MCS75
300,3544.0179,Th I,PE83
30,3544.02,Nb I,MCS75
150,3545.195,V II,ICL88
80,3545.22,W I,MCS75
25,3545.596,Ar II,N73
500 P,3545.8,Gd II,MCS75
25,3545.845,Ar II,N73
100,3546.05,Ho II,MCS75
60,3546.832,Dy II,NG00
1000,3547.018,Cm I,WHGC76
25,3547.028,Ti I,F91
500 P,3547.683,Zr I,J98
"1000 P,s",3547.75,Es II,WLGC74
50,3547.794,Mn I,CMG64
1000,3547.922,Cm I,WHGC76
40,3548.022,Mn I,CMG64
14,3548.182,Mn I,CMG64
40,3548.182,Ni I,LBT93
40,3548.5211,Pt II,SRSA92
300 P,3549.002,Y II,NJK91
100,3549.2018,U I,SPMR72
400,3549.36,Gd II,MCS75
200,3549.54,Rh I,MCS75
300,3549.5959,Th I,PE83
600 c,3549.72,Tc I,BMC67
60,3549.731,Zr I,J98
6,3549.822,Yb II,M67
70,3549.844,Er II,M64b
1,3549.86,Xe I,HM33
200,3550.217,Dy II,NG00
20,3550.45,Nb I,MCS75
200,3550.46,Zr I,J98
400 c,3550.64,Tc I,BMC67
250,3550.8223,U II,SPMR72
250,3551.4019,Th I,PE83
100,3551.615,Dy II,NG00
300 P,3551.951,Zr II,J98
50,3552.69,Y I,P77
60,3552.7,Hf II,MCS75
500 P,3553.0803,Pd I,ELLW98
1000,3553.596,Bk I,WC78
1,3554.04,Xe I,HM33
250 P,3554.43,Lu II,MCS75
60,3554.66,Nb I,MCS75
40,3554.9246,Fe I,NJLT94
130 s,3554.99,Ac II,MFT57
300,3555.0135,Th I,PE83
200,3555.3188,U I,SPMR72
"1000 P,l",3555.34,Es I,WLGC74
20,3555.818,Tm I,SMC73
1000,3556.515,Bk I,WC78
400 P,3556.594,Zr II,J98
300 s,3556.65,Es,WLGC74
70 c,3556.78,Ho II,MCS75
150,3556.8,V II,ICL88
150,3557.05,Gd II,MCS75
25,3557.365,Au I,ED71
120,3557.805,Ne II,P71
110,3558.016,Er I,M64b
20,3558.095,Mo I,WB88
40,3558.5151,Fe I,NJLT94
250,3558.534,Sc II,JL80
40,3558.713,Er I,M64b
15,3558.741,Y I,P77
130,3559.45,Th II,PE83
30,3559.508,Ar II,N73
30,3559.79,Os I,MCS75
90,3559.896,Er II,M64b
25,3560.15,Ho II,MCS75
80,3560.32,Tc I,BMC67
11,3560.327,Yb II,M67
9,3560.704,Yb II,M67
300,3560.798,Ce II,C73
40,3560.86,Os I,MCS75
30,3560.916,Tm I,SMC73
300 s,3560.92,Es,WLGC74
30,3561.03,Ar II,N73
100,3561.198,Ne II,P71
100,3561.411,U I,SPMR72
1000,3561.437,Cm I,WHGC76
150,3561.66,Hf II,MCS75
600 P,3561.708,Tb II,B01
400 P,3561.8038,U I,SPMR72
40 s,3562.68,Am II,FT57
14,3563.136,Mo I,WB88
100,3563.146,Dy II,NG00
200,3563.3756,Th I,PE83
40,3563.5,Nb I,MCS75
40,3563.62,Nb I,MCS75
120,3563.6559,U I,SPMR72
40,3563.876,Tm I,SMC73
25,3564.13,Rh I,MCS75
20,3565.172,Er I,M64b
100,3565.3789,Fe I,NJLT94
"700 P,s",3565.59,Ac II,MFT57
