Intensity,Wavelength (Å),Spectrum,Reference
200,2500.19,Ga I,MM52
500,2500.54,Ge II,S63a
100,2501.1318,Fe I,NJLT94
300 P,2501.9945,Zn II,GL00
90 P,2502.35,Re II,MCS75
40,2502.393,Fe II,NLTH91
250 P,2502.98,Ir I,MCS75
40,2503.8745,Fe II,NLTH91
10,2504.31,Cr I,K53
250,2504.45,Ta I,MCS75
40,2504.6,Re II,MCS75
80,2504.7,W I,MCS75
300,2505.7293,Pd II,LLJ94
50,2506.0935,Fe II,NLTH91
500,2506.464,Co II,PRUJ98
400 P,2506.897,Si I,RA65
15,2506.94,Li II,HM59
300 P,2507.01,Ru II,MCS75
250,2507.45,Ta I,MCS75
20,2507.782,V I,DA78
50,2507.9004,Fe I,NJLT94
7,2508.4973,Pt I,SRSA92
30,2508.785,Li II,HM59
30 c,2508.99,Re I,MCS75
150,2509.08,Tm II,MCS75
40,2509.7,Rh I,MCS75
100,2510.835,Fe I,NJLT94
200,2511.16,Co II,PRUJ98
9 c,2511.2,He II,GM65
70,2511.7603,Fe II,NLTH91
8,2512.061,Yb II,M67
40,2512.365,Fe I,NJLT94
30,2512.58,Ir II,MCS75
90,2512.65,Ta I,MCS75
70,2512.69,Hf II,MCS75
25,2512.87,Os I,MCS75
70,2513.03,Hf II,MCS75
80,2513.25,Os I,MCS75
70,2513.8885,Pt II,SRSA92
400 P,2514.316,Si I,RA65
25,2515.04,Os I,MCS75
300,2515.46,Na II,W71
40,2515.577,Pt I,SRSA92
20,2515.75,Rh I,MCS75
500 P,2516.112,Si I,RA65
3,2516.789,Ar II,N73
100 P,2516.88,Hf II,MCS75
30,2517.6611,Fe I,NJLT94
80,2518.1018,Fe I,NJLT94
25,2518.44,Os I,MCS75
40,2519.0472,Fe II,NLTH91
400 P,2519.202,Si I,RA65
20,2519.51,Cr I,K53
20,2519.622,V I,DA78
500,2519.823,Co II,PRUJ98
10,2520.01,Re I,MCS75
500 P,2520.52,Rh II,S58
90,2521.32,W I,MCS75
200 P,2521.365,Co I,PT96
6,2521.37,In I,P38
10,2521.5,Re I,MCS75
400,2521.7,Br II,R58
400 P,2522.8494,Fe I,NJLT94
90,2523.41,W I,MCS75
400 P,2524.108,Si I,RA65
11,2524.24,Rb II,R75
50,2524.2925,Fe I,NJLT94
9,2524.3065,Pt I,SRSA92
200,2524.634,Co II,PRUJ98
300,2524.974,Co II,PRUJ98
120,2525.3879,Fe II,NLTH91
30,2525.586,Ti II,HJLW82
30,2526.221,V I,DA78
200,2526.2939,Fe II,NLTH91
500 d,2526.35,Ta I,MCS75
200,2527.4351,Fe I,NJLT94
50,2527.76,W I,MCS75
"800 P,r",2528.509,Sb I,SM02
400 P,2528.509,Si I,RA65
500,2528.616,Co II,PRUJ98
80,2528.7336,Pt II,SRSA92
140,2528.97,Co I,PT96
80,2529.135,Fe I,NJLT94
25,2529.871,Ti I,F91
200,2530.08,Co II,PRUJ98
20,2530.183,V I,DA78
5,2530.738,Te I,MV75
700 P,2530.74,Tl II,JKBL96
40,2531.19,Hf II,MCS75
300,2531.54,Na II,W71
250,2532.12,Ta II,MCS75
60,2533.13,Ir I,MCS75
400,2533.518,Au II,RW97
70,2533.6274,Fe II,NLTH91
90,2533.64,W I,MCS75
200,2533.801,Co II,PRUJ98
400 P,2533.987,P I,M59
7,2534.221,Mn II,IV64
60,2534.4186,Fe II,NLTH91
60,2534.46,Ir I,MCS75
3,2534.709,Ar II,N73
70,2535.4856,Fe II,NLTH91
500 P,2535.606,P I,M59
40,2535.6069,Fe I,NJLT94
8,2535.658,Mn II,IV64
140,2535.966,Co I,PT96
"1000 P,c",2536.517,Hg I,BAL50
40,2536.6726,Fe II,NLTH91
120,2536.8,Fe II,C74
30,2537.22,Ir I,MCS75
8,2537.919,Mn II,IV64
100 P,2538.0,Os II,MCS75
30,2538.46,Mo II,MCS75
15,2538.67,Yb II,M67
60,2538.7987,Fe II,NLTH91
60,2538.9094,Fe II,NLTH91
90,2538.99,Fe II,C74
30,2539.2067,Pt I,SRSA92
20,2539.487,Li II,HM59
10,2540.51,Re I,MCS75
120,2540.66,Fe II,C74
60,2540.9722,Fe I,NJLT94
50,2541.101,Fe II,NLTH91
40,2541.8358,Fe II,NLTH91
25,2541.908,Ti I,F91
300,2541.953,Co II,PRUJ98
30,2542.02,Ir I,MCS75
30,2542.1013,Fe I,NJLT94
30,2542.51,Os I,MCS75
25,2542.67,Mo II,MCS75
1000 P,2543.23,Tc II,BMC67
40,2543.3781,Fe II,NLTH91
500 P,2543.97,Ir I,MCS75
13 d,2544.74,Re I,MCS75
120,2544.806,Nb II,RCL00
70,2545.34,W I,MCS75
40,2545.7,Rh I,MCS75
80,2545.9785,Fe I,NJLT94
50,2546.03,Ir I,MCS75
300,2546.549,Sn I,B64
50,2546.6701,Fe II,NLTH91
200,2546.739,Co II,PRUJ98
90,2546.8,Ta I,MCS75
140,2547.14,W I,MCS75
300,2547.98,Se I,RG34
11,2548.225,Mo I,WB88
60,2548.7442,Fe II,NLTH91
8,2548.75,Mn II,IV64
50,2549.0833,Fe II,NLTH91
50,2549.3947,Fe II,NLTH91
40,2549.4616,Fe II,NLTH91
8,2549.548,Cr I,K53
50,2549.56,Ru I,K59
60,2549.6133,Fe I,NJLT94
200,2550.02,K II,D26
40,2550.0274,Fe II,NLTH91
90,2550.38,W I,MCS75
30,2550.6832,Fe II,NLTH91
200 d,2551.07,Ta I,MCS75
300 P,2551.35,W I,MCS75
40,2551.4,Hf II,MCS75
10,2551.7,Li II,SO82
300,2551.8452,Pd II,LLJ94
100,2552.35,Sc II,JL80
100,2552.658,Au II,RW97
40,2552.764,Tm I,SMC73
400 P,2553.253,P I,M59
50,2553.82,W I,MCS75
"9 P,d",2554.434,In II,PC38
200,2554.62,Ta II,MCS75
60,2554.63,Re II,MCS75
25 P,2554.853,W II,EKM00
300,2554.904,P I,M59
90,2555.05,Ta I,MCS75
40 P,2555.095,W II,EKM00
60,2555.36,Rh I,MCS75
20,2556.51,Re I,MCS75
500 P,2557.946,Zn II,GL00
"600 P,w",2558.01,Po I,C66a
8,2558.605,Mn II,IV64
300,2559.405,Co II,PRUJ98
500 P,2559.43,Ta I,MCS75
200,2560.031,Co II,PRUJ98
60 P,2560.15,In I,P38
80,2560.232,Sc II,JL80
6,2560.695,Cr I,K53
60,2561.65,Tm II,MCS75
80,2561.97,W I,MCS75
5,2562.087,Ar II,N73
200,2562.1,Ta I,MCS75
80,2562.123,Ne II,P71
250,2562.5356,Fe II,NLTH91
25,2563.16,Os II,MCS75
120,2563.4755,Fe II,NLTH91
12,2563.642,Mn II,IV64
500,2564.034,Co II,PRUJ98
50,2564.18,Ir I,MCS75
150,2565.5045,Pd II,LLJ94
120,2565.593,Th II,GSZ70
20,2566.49,Os I,MCS75
