Intensity,Wavelength (Å),Spectrum,Reference
150,2000.792,Au II,RW97
300,2001.45,Os I,MCS75
400 P,2001.712,W II,EKM00
1000 P,2002.028,Te I,MV75
"200 P,r",2003.35,As I,HA85
500 P,2003.53,Re I,MCS75
400,2003.73,Os I,MCS75
700 P,2003.849,Mn I,CMG64
300,2004.81,Os I,MCS75
80,2007.009,Ne II,P71
5 r,2007.56,Tl I,C52
140,2007.7572,Pt II,SRSA92
800 P,2008.095,W II,EKM00
300 P,2009.982,W II,EKM00
600,2010.15,Os I,MCS75
250,2010.236,W II,EKM00
600,2010.65,Ir I,MCS75
80,2011.29,Ge I,AM59
1000 P,2012.0,Au I,MCS75
700 P,2012.78,Hf II,MCS75
250,2014.238,W II,EKM00
200,2014.933,Pt II,SRSA92
500 P,2015.109,Mo II,SPNL01
300 P,2017.87,Re I,MCS75
1000 P,2018.14,Os I,MCS75
700 P,2019.068,Ge I,AM59
1000,2020.26,Os,MCS75
1000 P,2020.314,Mo II,SPNL01
9,2020.5434,Pt I,SRSA92
250 P,2021.149,Bi I,WBBF01
250 P,2021.38,Au I,MCS75
200 P,2022.016,Pb I,WA68
500,2022.35,Ir I,MCS75
500,2022.76,Os I,MCS75
1000 P,2025.4845,Zn II,GL00
80,2025.56,Ne II,P71
2 P,2025.824,Mg I,KM91a
500 P,2026.088,W II,EKM00
20,2026.86,Hg II,SR01
1000 P,2028.18,Hf II,MCS75
500,2028.23,Os I,MCS75
1000 P,2029.3423,Nb II,RCL00
900 P,2029.995,W II,EKM00
20,2030.6456,Pt I,SRSA92
30,2032.4256,Pt I,SRSA92
200,2032.432,P I,S80
900 P,2033.0102,Nb II,RCL00
300,2033.477,P I,S80
900 P,2033.57,Ir I,MCS75
600 P,2034.44,Os I,MCS75
150,2035.043,W II,EKM00
7,2035.7985,Pt I,SRSA92
200 P,2035.854,Cu II,R69
250 P,2036.4666,Pt II,SRSA92
150 P,2037.127,Cu II,R69
500 P,2038.452,Mo II,SPNL01
30 r,2039.792,Sb I,SM02
600 P,2039.842,Se I,LP77
150,2041.5751,Pt II,SRSA92
"900 P,r",2041.712,Ge I,AM59
"600 P,r",2043.77,Ge I,AM59
250 P,2043.802,Cu II,R69
150,2044.587,Au II,RW97
900 P,2045.36,Os I,MCS75
400 P,2045.973,Mo II,SPNL01
500 P,2049.08,Re I,MCS75
30,2049.1689,Pt II,SRSA92
60,2049.3915,Pt I,SRSA92
"60 P,r",2049.577,Sb I,SM02
300,2049.636,W II,EKM00
400,2052.22,Ir I,MCS75
400 P,2052.828,Hg II,SR01
200 P,2053.284,Pb I,WA68
150,2054.461,Ge I,AM59
100,2054.734,Sb II,AJK89
1000 P,2055.59,Cr II,K51
50,2056.012,Be I,KM97
100,2057.0265,Pt II,SRSA92
80 h,2057.238,Ge I,AM59
600 P,2058.1323,Si I,KRA66
300*,2058.69,Os I,MCS75
300*,2058.78,Os I,MCS75
300,2060.64,Ir I,MCS75
9,2060.7621,Pt I,SRSA92
20,2061.162,Ag I,PZ01
700 P,2061.54,Cr II,K51
25 P,2061.63,I I,KC59
300 P,2061.634,Bi I,WBBF01
400,2061.69,Os I,MCS75
1000 P,2062.0011,Zn II,GL00
400 P,2062.779,Se I,LP77
15,2062.7943,Pt I,SRSA92
400 P,2064.2266,Zn II,GL00
300 r,2065.215,Ge I,AM59
500 P,2065.46,Cr II,K51
140,2065.573,W II,EKM00
200,2066.364,B I,"GV72,GM62"
200,2066.646,B I,"GV72,GM62"
250,2067.186,B I,"GV72,GM62"
1000 P,2067.21,Os II,MCS75
20,2067.5105,Pt I,SRSA92
"400 P,r",2068.344,Sb I,SM02
"1000 P,r",2068.656,Ge I,AM59
20,2068.92,Rb II,R75
400 h,2068.937,Bi II,WBBF01
9,2069.844,Ag I,PZ01
500 P,2070.67,Os II,MCS75
8,2070.9443,Pt I,SRSA92
8,2070.9443,Pt I,SRSA92
200,2071.208,W II,EKM00
11,2071.5,Rb II,R75
20,2072.016,Si II,S61b
30,2072.701,Si II,S61b
80 P,2074.7,Re I,MCS75
600 P,2074.784,Se I,LP77
80,2075.4004,Pt II,SRSA92
140,2075.59,W II,EKM00
110,2075.95,Rb II,R75
200,2076.43,Ru I,K59
250,2076.95,Os I,MCS75
250,2078.09,Os,MCS75
14 P,2078.608,In II,SM02
600 P,2079.118,W II,EKM00
