Intensity,Wavelength (Å),Spectrum,Reference
700,3000.572,Pu II,BW92b
60,3000.88,Cr I,K53
80,3000.9478,Fe I,NJLT94
150,3001.668,Ne II,P71
40,3002.2641,Pt I,SRSA92
110,3002.407,Er II,M64b
500 P,3002.485,Ni I,LBT93
"1000 P,w",3003.21,Po I,C66a
250,3003.621,Ni I,LBT93
40,3003.63,Ir I,MCS75
300,3004.15,Na II,W71
200 s,3004.25,Am II,FT57
40,3005.06,Cr I,K53
400,3005.56,Hf I,MCS75
15,3005.766,Yb II,M67
40,3006.588,Ru I,K59
400,3007.44,Na II,W71
50,3008.1382,Fe I,NJLT94
500 P,3009.133,Sn I,B64
400,3009.14,Na II,W71
6,3009.392,Yb II,M67
250,3010.13,Gd II,MCS75
300 l,3011.1,Pa II,BW92b
250,3011.743,Zr I,J98
500 P,3012.001,Ni I,LBT93
800 P,3012.54,Ta II,MCS75
130,3012.9,Hf II,MCS75
40,3013.7,He I,BDD72
40,3013.72,Cr I,K53
40,3014.756,Cr I,K53
1000 b,3014.867,Cm II,WHGC76
70,3014.932,Cr I,K53
40,3015.197,Cr I,K53
150,3015.3,Tm II,MCS75
90,3015.367,Sc I,AV77
300,3015.4,Na II,W71
9,3016.02,Re I,MCS75
100 c,3016.387,Pb II,WRSH74
60,3016.47,W I,MCS75
250,3016.78,Hf I,MCS75
130,3016.94,Hf II,MCS75
20,3017.25,Os I,MCS75
120,3017.311,Ne II,P71
30 h,3017.43,Xe II,H39
90,3017.44,W I,MCS75
9,3017.56,Yb II,M67
140,3017.591,Cr I,K53
150 P,3018.04,Os I,MCS75
400,3018.31,Hf I,MCS75
20,3018.492,Cr I,K53
12,3018.827,Cr I,K53
40,3019.143,Ni I,LBT93
120,3019.349,Sc I,AV77
40,3020.01,Fe II,C74
50,3020.4907,Fe I,NJLT94
500,3020.53,Hf I,MCS75
150 P,3020.54,Lu II,MCS75
150,3020.6389,Fe I,NJLT94
20,3020.671,Cr I,K53
60,3021.0728,Fe I,NJLT94
70,3021.498,Hg I,BAL50
140,3021.576,Cr I,K53
130,3022.21,U II,BW92b
50,3024.0327,Fe I,NJLT94
60,3024.359,Cr I,K53
300 P,3024.621,Bi I,GMV85
50,3025.8423,Fe I,NJLT94
9,3026.669,Yb II,M67
300 P,3027.016,Ne II,P71
110 d,3027.48,Ta I,MCS75
200,3027.6,Gd II,MCS75
100 s,3027.99,Am II,FT57
90,3028.038,Zr II,J98
110,3028.44,Nb II,RCL00
300 P,3028.864,Ne II,P71
20*,3029.121,Li II,HM59
20*,3029.136,Li II,HM59
8,3029.165,Cr I,K53
30 P,3029.204,Au I,ED71
250,3029.515,Zr I,J98
200 r,3029.809,Sb I,SM02
700,3029.924,Pu II,BFG84
40,3030.25,Cr I,K53
7,3030.45,Re I,MCS75
40,3030.7,Os I,MCS75
15,3030.759,Sc I,AV77
100,3030.787,Ne II,P71
50,3031.11,Yb II,M67
50,3031.16,Hf II,MCS75
7,3031.346,Cr I,K53
130,3031.987,U II,BW92b
140,3032.778,Sn I,B64
250,3032.84,Gd II,MCS75
15,3033.508,Ar II,N73
300 s,3033.59,Pa II,BW92b
200,3034.05,Gd II,MCS75
90,3034.0654,Th II,PE83
600 P,3034.115,Sn I,B64
20,3034.191,Cr I,K53
120,3034.461,Ne II,P71
100,3035.923,Ne II,P71
250,3036.1,Cu I,S48
20,3036.4425,Pt I,SRSA92
30,3037.049,Cr I,K53
80,3037.3887,Fe I,NJLT94
100,3037.72,Ne II,P71
200,3037.932,Ni I,LBT93
30,3038.288,Dy II,NG00
100 l,3038.363,Am II,FT57
300 P,3039.067,Ge I,AM59
400 P,3039.356,In I,P38
100,3039.586,Ne II,P71
30,3040.837,Cr I,K53
100,3040.9,Os I,MCS75
10,3041.699,Mo I,WB88
50 d,3041.73,W I,MCS75
"800 P,c",3042.6318,Pt I,SRSA92
15,3042.74,Os II,MCS75
20,3043.119,V I,DA78
300,3043.3,Ac II,MFT57
20,3043.548,V I,DA78
150,3044.005,Co I,PT96
100,3044.088,Ne II,P71
12,3044.566,Mn I,CMG64
1000 P,3044.848,Cm II,WHGC76
20,3044.933,V I,DA78
20,3045.363,Y I,P77
100,3045.556,Ne II,P71
50,3046.44,W I,MCS75
400,3047.0,Te II,HM64
120,3047.556,Ne II,P71
80,3047.6045,Fe I,NJLT94
100,3049.0924,Th II,PE83
30 c,3049.38,Ho II,MCS75
200,3049.56,Ta I,MCS75
90,3049.69,W I,MCS75
40,3050.073,Al I,KM91b
120,3050.197,U II,BW92b
300,3050.76,Hf I,MCS75
400 P,3050.816,Ni I,LBT93
11,3051.36,Rb II,R75
15 h,3053.184,Si II,S61b
40,3053.653,V I,DA78
500,3053.67,Na II,W71
40 s,3053.688,Am II,FT57
40,3053.87,Cr I,K53
25 c,3054.0,Ho II,MCS75
200,3054.312,Ni I,LBT93
100,3054.345,Ne II,P71
9,3054.362,Mn I,CMG64
100,3054.677,Ne II,P71
120,3054.833,Zr II,J98
"5 c,w",3054.94,Eu II,MCS75
600,3056.16,Na II,W71
100,3056.334,V I,DA78
120,3056.72,Lu II,MCS75
500,3057.02,Hf I,MCS75
50,3057.144,Al I,KM91b
30,3057.3907,Ne I,SS04
60,3057.4458,Fe I,NJLT94
30 c,3057.45,Ho II,MCS75
250,3057.639,Ni I,LBT93
