Intensity,Wavelength (Å),Spectrum,Reference
300,8000.96,Se I,RG34
600 P,8006.157,Ar I,N73
20,8012.98,Cs II,S81
700 P,8014.786,Ar I,N73
11,8015.611,Cl I,RK69
60,8015.73,Cs I,EW70
80,8016.01,F II,P69
250 P,8019.7,Ra II,R34a
9,8025.57,Ce II,C73
10,8029.67,Xe I,HM33
1000 P,8039.34,Pa I,BW92b
130 P,8043.74,I I,KC59
80 c,8047.13,Cs II,S81
70,8049.0,Rn I,R33
20,8057.26,Xe I,HM33
250,8059.5048,Kr I,K93
15,8061.34,Xe I,HM33
250 P,8070.099,Zr I,J98
300,8078.11,K I,R56
8,8078.94,Cs I,EW70
70,8079.04,Cs I,EW70
250,8079.62,K I,R56
60,8082.458,Ne I,SS04
100,8084.345,Ne II,P71
8,8084.508,Cl I,RK69
11,8085.562,Cl I,RK69
100,8086.05,La I,MCS75
15,8086.672,Cl I,RK69
200,8092.63,Cu I,S48
150,8096.75,Ni II,S70
300 P,8099.51,Rn I,R33
"1000 P,h",8099.84,Pa I,BW92b
10,8101.98,Xe I,HM33
600 P,8103.693,Ar I,N73
700 P,8104.3655,Kr I,K93
1000 P,8112.9012,Kr I,K93
20,8114.03,Sn I,B64
1000 P,8115.311,Ar I,N73
40,8118.5492,Ne I,SS04
60,8120.367,Ce I,BWCC91
120,8121.48,Ni II,S70
150 P,8126.232,Li I,REB95
300 P,8126.453,Li I,REB95
12,8128.9108,Ne I,SS04
6,8129.26,F I,L49
400,8131.52,Br I,T63
10,8132.967,Kr I,KH69
110,8132.984,Zr I,J98
170,8136.4054,Ne I,SS04
1000 P,8141.29,Cf I,RCWM80
50 h,8151.8,Xe II,H39
130,8153.75,Br I,T63
300,8154.0,Br I,T63
10,8171.02,Xe I,HM33
6,8179.339,F I,L49
60 P,8183.256,Na I,R56
90,8184.87,N I,M75a
90,8188.02,N I,M75a
500 P,8190.0566,Kr I,K93
12,8194.42,Cl I,RK69
10 P,8194.79,Na I,R56
110 P,8194.824,Na I,R56
1000 P,8199.04,Pa I,BW92b
11,8199.128,Cl I,RK69
11,8200.21,Cl I,RK69
400,8201.72,Ca II,ER56
70,8202.72,Kr II,DHM33
70,8206.34,Xe I,HM33
9,8210.239,Ba I,KL99
90 P,8212.038,Cl I,RK69
30,8212.57,Tb I,MCS75
80,8212.571,Zr I,J98
3,8213.034,Mg I,KM91a
10,8213.987,Mg II,KM91a
25,8214.726,F I,L49
140,8216.34,N I,M75a
13,8218.365,Kr I,KH69
15,8220.445,Cl I,RK69
100 P,8221.742,Cl I,RK69
130,8221.82,O I,M75b
90,8223.14,N I,M75a
7,8224.74,Pt I,MCS75
13 c,8227.0,In II,PC38
30,8230.773,F I,L49
1000 P,8231.635,Xe I,HP70b
11,8234.636,Mg II,KM91a
50,8240.05,I I,KC59
1000,8241.77,Cf II,RCWM80
90,8242.39,N I,M75a
500,8248.797,Ca II,ER56
400,8250.18,K I,R56
300,8251.74,K I,R56
4 P,8254.07,Be I,KM97
30,8259.379,Ne I,SS04
500 P,8263.2426,Kr I,K93
300,8264.522,Ar I,N73
100,8264.807,Ne II,P71
200,8264.96,Br I,T63
70,8266.0772,Ne I,SS04
50,8266.52,Xe I,HM33
10,8267.1162,Ne I,SS04
300 P,8270.96,Rn I,R33
1000 P,8271.87,Pa I,BW92b
15,8272.353,Kr I,KH69
"1000 P,c",8272.44,Br I,T63
50 P,8273.509,Ag I,PZ01
700 P,8280.117,Xe I,HP70b
250,8281.0522,Kr I,K93
500,8283.16,Cu II,R69
800 P,8298.1099,Kr I,K93
20,8298.581,F I,L49
300,8300.3258,Ne I,SS04
500,8309.602,Pu I,BFG84
120 P,8314.594,S II,KM93
100,8314.995,Ne II,P71
120,8324.69,La I,MCS75
50,8330.4494,Th I,PE83
90 P,8333.307,Cl I,RK69
1000,8333.85,Cf II,RCWM80
250,8334.7,Br I,T63
250 P,8335.15,C I,J66
"300 P,l",8339.12,Np I,FTBC76
130 P,8343.7,Br I,T63
2,8346.12,Mg I,KM91a
130,8346.53,La I,MCS75
200,8346.823,Xe I,HP70b
30,8347.24,Xe II,H39
300 s,8358.98,Pa I,BW92b
2,8361.69,He I,M60a
50,8365.7466,Ne I,SS04
300 s,8369.6,Pa I,BW92b
100,8372.106,Ne II,P71
1000 P,8372.88,Np I,FTBC76
500 P,8375.94,Cl I,RK69
800 P,8377.608,Ne I,SS04
120,8390.22,K I,R56
1,8392.27,Ar I,M73
1000 P,8392.37,Cm I,WHGC76
130 c,8393.3,I I,KC59
50,8395.68,Pb II,WRSH74
400,8408.21,Ar I,N73
200,8409.191,Xe I,HP70b
15,8412.43,Kr I,KH69
30,8417.1606,Ne I,SS04
80,8417.54,K I,R56
250,8418.4274,Ne I,SS04
40,8420.0,K I,R56
20,8422.624,Sn I,B64
1000,8423.49,Cf II,RCWM80
600,8424.648,Ar I,N73
