Intensity,Wavelength (Å),Spectrum,Reference
150,7002.23,O I,M75b
40,7003.567,Si I,RA65
130,7005.19,Br I,T63
40,7005.883,Si I,RA65
300,7024.0504,Ne I,SS04
4,7030.251,Ar I,N73
800 P,7032.4131,Ne I,SS04
60,7034.903,Si I,RA65
500 P,7037.469,F I,L49
11,7040.2,Eu I,MCS75
1000 l,7040.85,Bk I,WC78
20,7051.2923,Ne I,SS04
700 P,7055.42,Rn I,R33
100,7059.1074,Ne I,SS04
200 P,7059.943,Ba I,KL99
10,7061.75,Ce II,C73
300,7062.065,Se I,E72
100 P,7065.1771,He I,M02
60 P,7065.2153,He I,M02
20 P,7065.7086,He I,M02
300 P,7067.218,Ar I,N73
3,7068.736,Ar I,N73
80 P,7070.1,Sr I,MCS75
1000 l,7074.52,Cf I,RCWM80
300,7076.27,Pa I,BW92b
6,7077.1,Eu II,MCS75
25,7081.9,Hg I,F54
50,7082.15,Xe II,H39
10,7086.35,Ce II,C73
150 P,7097.727,Zr I,J98
300 h,7100.94,Pa I,BW92b
80,7102.922,Zr I,J98
1,7107.478,Ar I,N73
1000,7107.85,Bk I,WC78
13,7113.73,Pt I,MCS75
"1000 P,s",7114.89,Pa I,BW92b
200,7118.5,Ra I,R34b
50,7119.6,Xe I,HM33
30,7120.331,Ba I,KL99
1,7125.82,Ar I,N73
300 P,7127.89,F I,L49
250,7131.81,Hf I,MCS75
500 P,7141.21,Ra I,R34b
30,7147.042,Ar I,N73
15 s,7147.5,Xe II,H39
700,7148.147,Ca I,R68
70,7149.03,Xe II,H39
130 w,7149.54,Cs II,S81
1000 P,7162.69,Cm I,WHGC76
150,7164.83,Xe II,H39
50,7165.545,Si I,RA65
50,7168.8952,Th I,PE83
150 P,7169.092,Zr I,J98
300 h,7171.55,Pa I,BW92b
800 P,7173.9381,Ne I,SS04
130,7179.9,F II,P69
"20 P,w",7182.89,In II,PC38
20,7190.776,Sn II,B64
100,7193.6,Pb II,S75
10,7194.81,Eu II,MCS75
9,7195.23,Ba I,KL99
600,7202.194,Ca I,R68
150 P,7202.36,F I,L49
2,7206.98,Ar I,N73
60,7208.0063,Th I,PE83
10,7209.134,Be I,KM97
30,7209.434,Ti I,F91
130 h,7211.79,F II,P69
80,7213.13,Kr II,DHM33
150,7213.2,Ne II,P71
10,7217.55,Eu II,MCS75
15,7224.104,Kr I,KH69
200,7225.16,Ra I,R34b
300,7227.13,Pa I,BW92b
13,7228.53,Cs I,EW70
4,7228.965,Pb I,WA68
400 P,7231.32,C II,MG93
150,7235.188,Ne II,P71
500 P,7236.42,C II,MG93
300 P,7237.1,Hf I,MCS75
200,7240.87,Hf I,MCS75
800 P,7245.1666,Ne I,SS04
40,7250.625,Si I,RA65
1000,7252.5,Bk I,WC78
90,7252.71,Ce I,BWCC91
130,7254.15,O I,M75b
150,7254.45,O I,M75b
40,7256.62,Cl I,RK69
500,7258.049,Pu I,BFG84
300 P,7268.11,Rn I,R33
60,7272.936,Ar I,N73
40,7275.294,Si I,RA65
12 c,7276.5,In II,PC38
2,7279.9,Cs I,EW70
20,7279.96,Cs I,EW70
1 l,7279.997,Rb I,B59
150 P,7280.296,Ba I,KL99
50,7281.35,He I,M60a
30,7284.34,Xe II,H39
13,7287.258,Kr I,KH69
100 P,7289.173,Si I,MKMD94
130,7289.78,Kr II,DHM33
300 P,7290.4,Ac I,MFT57
70,7291.0,Rn I,R33
9,7301.17,Eu II,MCS75
70,7301.8,Xe II,H39
1000,7306.94,Bk I,WC78
1000 s,7307.9,Cf I,RCWM80
40,7309.41,Sr I,MCS75
150 P,7311.019,F I,L49
1,7311.716,Ar I,N73
1,7316.005,Ar I,N73
300,7318.79,Pa I,BW92b
700,7326.146,Ca I,R68
50,7331.957,F I,L49
"150 c,w",7334.18,La I,MCS75
70,7339.3,Xe II,H39
150,7343.945,Ne II,P71
500,7345.67,Cd I,BA56
6,7346.508,Hg II,SR01
130 P,7348.51,Br I,T63
20 c,7350.6,In II,PC38
2,7353.293,Ar I,N73
"1000 P,l",7368.25,Pa I,BW92b
12,7370.22,Eu II,MCS75
6,7372.118,Ar I,N73
7,7380.426,Ar II,N73
300,7383.98,Ar I,N73
10,7386.0,Xe I,HM33
2,7387.685,Mg I,KM91a
15,7392.405,Ba I,KL99
1,7392.98,Ar I,N73
15,7393.79,Xe I,HM33
1000,7394.26,Bk I,WC78
90,7397.764,Ce I,BWCC91
100 P,7398.688,F I,L49
6,7400.22,Cr I,K53
70,7402.06,I I,KC59
700,7404.354,Cu II,R69
90 P,7405.774,Si I,MKMD94
130,7407.02,Kr II,DHM33
2,7408.173,Rb I,B59
50,7409.082,Si I,RA65
25,7414.114,Cl I,RK69
60,7415.946,Si I,RA65
100 P,7423.497,Si I,RA65
150,7423.64,N I,M75a
10,7425.541,Kr I,KH69
40,7425.645,F I,L49
5,7426.57,Eu II,MCS75
40,7428.9405,Th I,PE83
1,7435.368,Ar I,N73
70,7435.78,Kr II,DHM33
200 P,7442.29,N I,M75a
1000 P,7450.0,Rn I,R33
60,7452.49,Tc I,BMC67
8,7462.35,Cr I,K53
200 P,7468.31,N I,M75a
70,7468.99,I I,KC59
9,7469.51,Er I,MCS75
300 h,7471.89,Pa I,BW92b
30,7472.4386,Ne I,SS04
50,7478.7691,Zn II,GL00
20,7482.723,F I,L49
15,7486.862,Kr I,KH69
25,7488.075,Ba I,KL99
300,7488.8712,Ne I,SS04
25,7489.155,F I,L49
100,7492.102,Ne II,P71
"1000 P,h",7493.15,Pa I,BW92b
600 P,7503.869,Ar I,N73
50,7510.728,Au I,ED71
500 P,7512.96,Br I,T63
400,7514.652,Ar I,N73
150,7522.818,Ne II,P71
100,7524.46,Kr II,DHM33
300,7535.7741,Ne I,SS04
120,7539.23,La I,MCS75
80,7540.26,Tc I,BMC67
130,7544.0443,Ne I,SS04
60 P,7547.072,Cl I,RK69
100,7548.45,Xe II,H39
50,7552.235,F I,L49
15,7555.09,Ho I,MCS75
300 h,7558.26,Pa I,BW92b
14,7558.33,Tm I,SMC73
50,7558.97,Pb II,S75
500,7572.923,Pu I,BFG84
50,7573.384,F I,L49
150 P,7578.909,S II,KM93
15,7583.91,Eu I,MCS75
20,7584.68,Xe I,HM33
150,7587.4136,Kr I,K93
60,7588.4648,Zn II,GL00
300,7601.304,Ca II,R68
300,7601.5457,Kr I,K93
70,7607.17,F I,L49
"1000 P,h",7608.2,Pa I,BW92b
40 c,7608.9,Cs I,K62b
25,7618.57,Xe II,H39
2 l,7618.933,Rb I,B59
150,7624.4,Hf I,MCS75
1000 P,7626.79,Pa I,BW92b
120 P,7629.74,S II,KM93
50,7632.56,Pb II,S75
700 P,7635.106,Ar I,N73
"1000 P,s",7635.18,Pa I,BW92b
50,7641.16,Kr II,DHM33
50,7642.02,Xe I,HM33
10,7643.91,Xe I,HM33
50,7647.3794,Th I,PE83
500,7652.333,Cu II,R69
3,7657.603,Mg I,KM91a
3,7659.152,Mg I,KM91a
3,7659.902,Mg I,KM91a
700,7664.648,Cu II,R69
1000 P,7664.8991,K I,E99
1000 P,7669.34,Pa I,BW92b
70,7670.66,Xe II,H39
80 P,7672.085,Ba I,KL99
12,7672.419,Cl I,RK69
300,7679.2,Pa I,BW92b
