Intensity,Wavelength (Å),Spectrum,Reference
100,3250.355,Ne II,P71
90,3250.393,Zr I,J98
50,3251.268,Dy II,NG00
110,3251.6361,Pd I,ELLW98
80,3251.909,Ti II,HJLW82
70,3251.9159,Th II,PE83
30,3251.9787,Pt I,SRSA92
500,3252.07,Pu I,BFG84
1000,3252.191,Bk I,WC78
150,3252.524,Cd I,BA56
1000 b,3252.675,Cm I,WHGC76
100,3252.916,Ti II,HJLW82
11,3252.949,Mn I,CMG64
100 P,3253.7,Hf II,MCS75
100,3254.066,Nb II,RCL00
100,3254.251,Ti II,HJLW82
250 P,3254.31,Lu II,MCS75
200,3254.377,Sm II,K35
70,3255.676,Sc I,AV77
50,3255.9088,Pt I,SRSA92
700 P,3256.089,In I,P38
11,3256.137,Mn I,CMG64
30,3256.208,Mo I,WB88
200,3256.2738,Th II,PE83
300,3257.3667,Th I,PE83
6,3257.826,Cr I,K53
800,3257.96,Na II,W71
200,3258.05,Tm II,MCS75
150 P,3258.565,In I,P38
150,3258.7765,Pd I,ELLW98
11,3258.85,Re I,MCS75
50,3259.05,Er II,M64b
11,3259.55,Re I,MCS75
60,3260.111,Zr I,J98
700 d,3260.539,Pu II,BFG84
300,3260.91,Ac II,MFT57
150,3261.055,Cd I,BA56
7,3261.508,Yb II,M67
100,3261.585,Ti II,HJLW82
110 P,3262.29,Os I,MCS75
400 P,3262.331,Sn I,B64
1,3262.355,Pb I,WA68
10,3262.626,Mo I,WB88
200,3262.6684,Th II,PE83
60,3263.14,Rh I,MCS75
1000 s,3263.473,Bk II,WC78
15,3264.401,Mo I,WB88
250 P,3264.782,Er II,M64b
500,3265.177,Pu I,BFG84
60,3265.67,La II,MCS75
1000,3265.806,Cm I,WHGC76
200,3266.64,Tm II,MCS75
110,3266.73,Gd I,MCS75
130,3267.4,Tm II,MCS75
"300 P,r",3267.491,Sb I,SM02
300,3267.702,V II,ICL88
110 P,3267.94,Os I,MCS75
10,3268.417,Pt I,SRSA92
90,3268.99,Tm II,MCS75
20,3269.21,Os I,MCS75
40 P,3269.489,Ge I,AM59
200 P,3269.897,Sc I,AV77
30,3270.899,Mo I,WB88
20,3270.99,Rb II,R75
250,3271.124,V II,ICL88
60,3271.61,Rh I,MCS75
200,3272.0268,Th I,PE83
90,3272.222,Zr II,J98
300,3272.253,Ce II,C73
200,3273.047,Zr II,J98
700 P,3273.111,Pu II,BFG84
250 P,3273.628,Sc I,AV77
1000 P,3273.96,Cu I,S48
500,3274.22,Na II,W71
300,3274.46,Pa II,BW92b
700 P,3275.125,Pu II,BFG84
20,3275.2,Os I,MCS75
500,3275.236,Pu I,BFG84
200 P,3276.13,V II,ICL88
120,3276.81,Tm II,MCS75
4,3277.78,Eu II,MCS75
25 c,3278.15,Ho II,MCS75
500 P,3278.97,Lu I,MCS75
250 P,3279.264,Zr II,J98
70,3279.326,Er II,M64b
700 P,3279.326,Pu II,BFG84
40,3280.091,Dy II,NG00
70,3280.218,Er II,M64b
1000,3280.45,Cm I,WHGC76
250,3280.55,Rh I,MCS75
"1000 P,r",3280.68,Ag I,PZ01
1000 P,3281.74,Lu I,MCS75
11,3281.967,Pt I,SRSA92
60 c,3281.97,Ho II,MCS75
100 s,3282.32,Am II,FT57
50 P,3282.3256,Zn I,GL00
90,3282.732,Zr I,J98
50 P,3283.14,Sn II,B64
130,3283.4,Tm II,MCS75
250,3283.57,Rh I,MCS75
150,3284.712,Zr II,J98
200,3285.03,Tb II,B01
11,3285.355,Mo I,WB88
1000 P,3285.6,Na II,W71
130,3285.61,Tm II,MCS75
200,3285.7525,Th I,PE83
40 l,3286.666,Am II,FT57
300,3287.472,O II,MKM93
40,3287.657,Ti II,HJLW82
150,3287.7893,Th II,PE83
25,3288.46,Ho II,MCS75
"1000 P,l",3288.75,Bk I,WC78
40,3289.011,Mo I,WB88
30,3289.14,Rh I,MCS75
1000 P,3289.347,Bk I,WC78
1000 P,3289.37,Yb II,M67
700 P,3289.977,Pu II,BFG84
25,3290.2196,Pt I,SRSA92
40,3290.26,Os I,MCS75
700 P,3290.345,Pu II,BFG84
150 h,3290.54,Cu I,S48
30,3290.82,Mo I,WB88
250,3291.0,Tm II,MCS75
500,3291.01,Tl II,ES36
150,3291.332,U II,BW92b
90,3291.48,Gd I,MCS75
200,3291.7394,Th II,PE83
40,3292.076,Ti I,F91
150,3292.5209,Th II,PE83
500,3292.56,Pu I,BFG84
250,3293.065,Tb II,B01
8,3293.64,Ar II,N73
90,3294.08,Gd I,MCS75
40,3294.109,Ru I,K59
20,3294.28,Rh I,MCS75
20,3296.01,Nb I,MCS75
