Intensity,Wavelength (Å),Spectrum,Reference
10 s,5000.21,Am I,FT57
30,5000.988,Ti I,F91
110,5001.14,Lu I,MCS75
30,5001.48,N II,M75a
40 P,5005.15,N II,M75a
50,5005.1587,Ne I,SS04
3,5005.416,Pb I,WA68
250,5005.6,K II,D26
500 P,5007.206,Ti I,F91
20,5007.234,Er I,M64b
30,5007.32,N II,M75a
600 P,5009.098,Ce I,M75c
15,5009.334,Ar II,N73
20,5009.77,Tm II,MCS75
20,5010.62,N II,M75a
15,5013.17,Eu I,MCS75
30,5013.281,Ti I,F91
400 P,5014.186,Ti I,F91
300,5014.275,Ti I,F91
150,5015.04,Gd I,MCS75
100,5015.678,He I,M60a
70,5016.16,Ti I,F91
25,5017.163,Ar II,N73
60,5017.254,Th II,PE83
300,5018.59,Pr I,MCS75
500 P,5019.76,Pr I,MCS75
300,5019.971,Ca II,ER56
110,5020.024,Ti I,F91
200 l,5020.96,Am II,FT57
70,5022.4,Kr II,DHM33
110,5022.866,Ti I,F91
15,5022.91,Eu I,MCS75
70,5024.843,Ti I,F91
40,5025.569,Ti I,F91
500 P,5026.96,Pr I,MCS75
50,5027.3433,Ag II,KLLT02
50,5027.3841,U I,PKE80
20,5028.28,Xe I,HM33
10,5029.54,Eu I,MCS75
250,5033.38,Pr I,MCS75
20,5034.22,Tm II,MCS75
150,5035.902,Ti I,F91
110,5036.463,Ti I,F91
50,5037.7512,Ne I,SS04
15,5037.915,Li II,HM59
90,5038.396,Ti I,F91
150,5039.955,Ti I,F91
300,5040.846,Ce I,M75c
130 P,5041.026,Si II,S61b
20,5042.049,Er II,M64b
250 P,5042.58,Pb II,WRSH74
250,5043.8,Cs II,S81
300,5043.83,Pr I,MCS75
9,5044.04,Pt I,MCS75
250,5044.279,Sm I,K35
"300 P,s",5044.66,Np I,FTBC76
70,5044.92,Xe II,H39
30,5045.1,N II,M75a
800 P,5045.52,Pr I,MCS75
70,5046.583,Zr I,J98
10,5047.74,He I,M60a
60,5049.796,Th II,PE83
300,5050.57,La I,MCS75
600,5051.793,Cu II,R69
1000 s,5052.08,Es,WLGC74
90,5053.28,W I,MCS75
400,5053.4,Pr I,MCS75
130 P,5055.981,Si II,S61b
250,5056.27,K II,D26
250,5056.46,La I,MCS75
40,5057.34,Ru I,K59
"1000 P,r",5058.31,Pm I,RD67
20,5059.48,Pt I,MCS75
15,5060.895,Tm I,SMC73
25,5062.037,Ar II,N73
11,5064.306,Sc I,AV77
200 P,5064.651,Ti I,F91
100,5064.904,Zr I,J98
200 P,5067.9737,Th I,PE83
4,5069.144,Yb I,MT78
25,5070.257,Sc I,AV77
50,5070.58,Pb II,WRSH74
300,5071.2,Sm I,K35
300,5071.775,Ce I,M75c
12,5074.34,Yb I,MT78
50,5074.53,Pb II,WRSH74
11,5075.82,Sc I,AV77
130,5078.252,Zr I,J98
140 P,5078.264,Cl II,RK74
800 P,5078.54,Tl II,ES36
50,5078.96,Nb I,MCS75
300,5080.62,Xe II,H39
90,5081.561,Sc I,AV77
50,5083.721,Sc I,AV77
400,5084.23,K I,R56
50,5085.549,Sc I,AV77
"500 P,h",5085.822,Cd I,BA56
80,5086.52,Kr II,DHM33
500 P,5087.12,Pr I,MCS75
15,5087.123,Sc I,AV77
700 P,5087.418,Y II,NJK91
12,5089.93,Sc I,AV77
7,5090.495,Ar II,N73
400 r,5094.83,Pm I,RD67
25,5095.3,Nb I,MCS75
300,5096.28,Tc I,BMC67
15,5096.721,Sc I,AV77
400,5097.17,K I,R56
400,5099.2,K I,R56
25,5099.274,Sc I,AV77
300 r,5100.77,Pm I,RD67
15,5101.119,Sc I,AV77
100 s,5102.93,Es,WLGC74
200 P,5103.45,Gd I,MCS75
150 P,5105.54,Cu I,S48
300,5106.23,La I,MCS75
70,5110.384,Pr II,G90
110,5110.763,Pr II,G90
50,5111.64,Pb II,WRSH74
500,5112.25,K I,R56
400,5112.703,Ce I,M75c
25,5113.439,Ti I,F91
15,5114.37,Eu I,MCS75
14,5116.648,Sc I,AV77
300,5117.162,Sm I,K35
1000 l,5118.24,Bk I,WC78
130 P,5119.29,I I,KC59
30,5120.415,Ti I,F91
15 c,5120.8,In II,PC38
11 w,5121.75,In II,PC38
